id;dep_id;dep_name;available;relesed;assigned;hcode
1;Virtual;wireless bus Tools;56139;35538;26878;groupware
2;scalable;Chicken;940;21915;8749;Configuration Granite Cloned
3;generate parsing Borders;Account Fully-configurable;5921;52674;81097;Clothing
4;bypassing;vortals User-friendly;88346;2693;57735;encompassing
5;Universal Rubber;South;41466;12051;64673;virtual Awesome
6;Identity;1080p Steel;8833;19276;91975;Direct Loan
7;Towels Pants;Tasty;68705;58814;75802;model
8;Fish USB RAM;Berkshire quantifying Sausages;21172;27862;8331;next-generation intuitive
9;Tugrik empower deposit;salmon;25258;38834;6257;synergistic national Estate
10;Tuna Shoes Hong;Berkshire Ergonomic;92290;36927;69487;hacking Tuna Customer
