id;name;sex;profession;c_wzone;c_wworeda;c_whealthfacility;firstchoice;secondchoice;thirdchoice;selfexpirence;saposeexperience;no
1;Avon Dynamic (Malvinas);Won Central core;Agent Republic Berkshire;Connecticut PNG;USB Concrete Incredible;Rustic reboot exploit;pixel;Account;monitor mobile;2022-04-27;THX Manager;Investor bypass
2;dedicated models Shirt;panel RSS Refined;alarm;California;Jersey CSS;Representative optical Philippine;revolutionary auxiliary port;Austria impactful Lead;Intranet aggregate;2022-04-26;Product SSL Loan;Concrete
3;Florida grey logistical;SCSI executive Fork;Phased;withdrawal reintermediate withdrawal;system networks Vision-oriented;JBOD of;Dynamic;Intranet;Grove copying;2022-04-27;maximized Georgia;Ukraine index
4;Seamless Product moratorium;empowering encryption;Innovative;matrix;Panama;gold Account;focus;Fresh Money Applications;algorithm;2022-04-27;Cambridgeshire Jewelery;Virtual
5;Argentina copy port;Frozen Refined tan;Soft deposit;copying synthesizing;Orchestrator conglomeration Frozen;revolutionize system-worthy invoice;Ohio;Toys payment Kids;Rhode Concrete;2022-04-26;input portals circuit;Pants Orchestrator
6;panel;RAM methodologies transmit;driver bandwidth;Facilitator;maroon;Executive;Senegal;invoice;Optimized;2022-04-27;Macedonia Ruble;transmitting navigating
7;magenta;Soft;International pink;Isle;synthesize microchip Plastic;Refined;Island;infomediaries lime;payment Stream;2022-04-27;Car;set Beauty Interactions
8;copy Hills Rubber;AGP;tan;Small;Customer e-services Shirt;navigate blockchains system;Kwacha;IB data-warehouse;Bedfordshire project;2022-04-27;system;International SDR
9;withdrawal virtual expedite;interface;District Checking;networks;Borders feed invoice;deposit open-source;Lead Ramp;FTP;Licensed Buckinghamshire Sleek;2022-04-26;front-end and lime;Buckinghamshire Arab olive
10;Decentralized Island;Ball Fresh;Auto matrix compressing;monitor Maldives PCI;infrastructures synthesizing Luxembourg;Electronics;Practical Taka calculating;Cheese;Cliffs Jamaica South;2022-04-26;Cambridgeshire digital backing;blue navigating
